ACCESSION,EXPERIMENT,DESIGN,LENGTH,INSTRUMENT,BIOSAMPLE,TAXID,GENOME_ACCESSION,SPECIES,ASSEMBLY
SRR4029102,SRX2020724,PAIRED,-,Illumina HiSeq 2000,SAMN05572228,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4029103,SRX2020725,PAIRED,-,Illumina HiSeq 2000,SAMN05572227,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4029104,SRX2020726,PAIRED,-,Illumina HiSeq 2000,SAMN05572226,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4029105,SRX2020727,PAIRED,-,Illumina HiSeq 2000,SAMN05572225,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4029106,SRX2020728,PAIRED,-,Illumina HiSeq 2000,SAMN05572224,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4029107,SRX2020729,PAIRED,-,Illumina HiSeq 2000,SAMN05572223,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4029108,SRX2020730,PAIRED,-,Illumina HiSeq 2000,SAMN05572222,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4029109,SRX2020731,PAIRED,-,Illumina HiSeq 2000,SAMN05572221,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030277,SRX2021818,SINGLE,-,NextSeq 500,SAMN05572686,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030278,SRX2021819,SINGLE,-,NextSeq 500,SAMN05572685,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030279,SRX2021820,SINGLE,-,NextSeq 500,SAMN05572684,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030280,SRX2021821,SINGLE,-,NextSeq 500,SAMN05572683,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030281,SRX2021822,SINGLE,-,NextSeq 500,SAMN05572682,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030282,SRX2021823,SINGLE,-,NextSeq 500,SAMN05572681,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030283,SRX2021824,SINGLE,-,NextSeq 500,SAMN05572692,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030284,SRX2021825,SINGLE,-,NextSeq 500,SAMN05572691,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030285,SRX2021826,SINGLE,-,NextSeq 500,SAMN05572690,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030286,SRX2021827,SINGLE,-,NextSeq 500,SAMN05572689,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030287,SRX2021828,SINGLE,-,NextSeq 500,SAMN05572688,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4030288,SRX2021829,SINGLE,-,NextSeq 500,SAMN05572687,303,GCA_002741075.1,Pseudomonas putida,Complete Genome
SRR4040237,SRX2031350,PAIRED,-,Illumina HiSeq 2500,SAMN05590268,1280,GCA_900155335.1,Staphylococcus aureus,Complete Genome
SRR4040238,SRX2031351,PAIRED,-,Illumina HiSeq 2500,SAMN05590267,1280,GCA_900155335.1,Staphylococcus aureus,Complete Genome
SRR4040239,SRX2031352,PAIRED,-,Illumina HiSeq 2500,SAMN05590266,1280,GCA_900155335.1,Staphylococcus aureus,Complete Genome
SRR4040240,SRX2031353,PAIRED,-,Illumina HiSeq 2500,SAMN05590265,1280,GCA_900155335.1,Staphylococcus aureus,Complete Genome
SRR4047463,SRX2038319,SINGLE,-,Illumina HiSeq 2500,SAMN05605142,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047464,SRX2038320,SINGLE,-,Illumina HiSeq 2500,SAMN05605141,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047465,SRX2038321,SINGLE,-,Illumina HiSeq 2500,SAMN05605140,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047466,SRX2038322,SINGLE,-,Illumina HiSeq 2500,SAMN05605139,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047467,SRX2038323,SINGLE,-,Illumina HiSeq 2500,SAMN05605143,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047468,SRX2038324,SINGLE,-,Illumina HiSeq 2500,SAMN05605144,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047469,SRX2038325,SINGLE,-,Illumina HiSeq 2500,SAMN05605162,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047470,SRX2038326,SINGLE,-,Illumina HiSeq 2500,SAMN05605163,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047471,SRX2038327,SINGLE,-,Illumina HiSeq 2500,SAMN05605164,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047472,SRX2038328,SINGLE,-,Illumina HiSeq 2500,SAMN05605165,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047473,SRX2038329,SINGLE,-,Illumina HiSeq 2500,SAMN05605166,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047474,SRX2038330,SINGLE,-,Illumina HiSeq 2500,SAMN05605167,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047475,SRX2038331,SINGLE,-,Illumina HiSeq 2500,SAMN05605168,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047476,SRX2038332,SINGLE,-,Illumina HiSeq 2500,SAMN05605124,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047477,SRX2038333,SINGLE,-,Illumina HiSeq 2500,SAMN05605123,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047478,SRX2038334,SINGLE,-,Illumina HiSeq 2500,SAMN05605126,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047479,SRX2038335,SINGLE,-,Illumina HiSeq 2500,SAMN05605125,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047480,SRX2038336,SINGLE,-,Illumina HiSeq 2500,SAMN05605128,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047481,SRX2038337,SINGLE,-,Illumina HiSeq 2500,SAMN05605127,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047482,SRX2038338,SINGLE,-,Illumina HiSeq 2500,SAMN05605170,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047483,SRX2038339,SINGLE,-,Illumina HiSeq 2500,SAMN05605169,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047484,SRX2038340,SINGLE,-,Illumina HiSeq 2500,SAMN05605171,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047485,SRX2038341,SINGLE,-,Illumina HiSeq 2500,SAMN05605172,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047486,SRX2038342,SINGLE,-,Illumina HiSeq 2500,SAMN05605173,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047487,SRX2038343,SINGLE,-,Illumina HiSeq 2500,SAMN05605132,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047488,SRX2038344,SINGLE,-,Illumina HiSeq 2500,SAMN05605133,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047489,SRX2038345,SINGLE,-,Illumina HiSeq 2500,SAMN05605135,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047490,SRX2038346,SINGLE,-,Illumina HiSeq 2500,SAMN05605134,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047491,SRX2038347,SINGLE,-,Illumina HiSeq 2500,SAMN05605136,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047492,SRX2038348,SINGLE,-,Illumina HiSeq 2500,SAMN05605137,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047493,SRX2038349,SINGLE,-,Illumina HiSeq 2500,SAMN05605138,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047494,SRX2038350,SINGLE,-,Illumina HiSeq 2500,SAMN05605175,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047495,SRX2038351,SINGLE,-,Illumina HiSeq 2500,SAMN05605174,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047496,SRX2038352,SINGLE,-,Illumina HiSeq 2500,SAMN05605176,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047497,SRX2038353,SINGLE,-,Illumina HiSeq 2500,SAMN05605121,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047498,SRX2038354,SINGLE,-,Illumina HiSeq 2500,SAMN05605120,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047499,SRX2038355,SINGLE,-,Illumina HiSeq 2500,SAMN05605122,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047500,SRX2038356,SINGLE,-,Illumina HiSeq 2500,SAMN05605131,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047501,SRX2038357,SINGLE,-,Illumina HiSeq 2500,SAMN05605130,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047502,SRX2038358,SINGLE,-,Illumina HiSeq 2500,SAMN05605129,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047503,SRX2038359,SINGLE,-,Illumina HiSeq 2500,SAMN05605161,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047504,SRX2038360,SINGLE,-,Illumina HiSeq 2500,SAMN05605160,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047505,SRX2038361,SINGLE,-,Illumina HiSeq 2500,SAMN05605159,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047506,SRX2038362,SINGLE,-,Illumina HiSeq 2500,SAMN05605158,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047507,SRX2038363,SINGLE,-,Illumina HiSeq 2500,SAMN05605157,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047508,SRX2038364,SINGLE,-,Illumina HiSeq 2500,SAMN05605156,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047509,SRX2038365,SINGLE,-,Illumina HiSeq 2500,SAMN05605155,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047510,SRX2038366,SINGLE,-,Illumina HiSeq 2500,SAMN05605154,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047511,SRX2038367,SINGLE,-,Illumina HiSeq 2500,SAMN05605153,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047512,SRX2038368,SINGLE,-,Illumina HiSeq 2500,SAMN05605152,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047513,SRX2038369,SINGLE,-,Illumina HiSeq 2500,SAMN05605151,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047514,SRX2038370,SINGLE,-,Illumina HiSeq 2500,SAMN05605150,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047515,SRX2038371,SINGLE,-,Illumina HiSeq 2500,SAMN05605149,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047516,SRX2038372,SINGLE,-,Illumina HiSeq 2500,SAMN05605148,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047517,SRX2038373,SINGLE,-,Illumina HiSeq 2500,SAMN05605147,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047518,SRX2038374,SINGLE,-,Illumina HiSeq 2500,SAMN05605146,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4047519,SRX2038375,SINGLE,-,Illumina HiSeq 2500,SAMN05605145,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4048494,SRX2039178,SINGLE,-,NextSeq 500,SAMN05590439,1313,GCA_002843545.1,Streptococcus pneumoniae,Complete Genome
SRR4050228,SRX2039836,SINGLE,-,AB 5500xl Genetic Analyzer,SAMN05607791,155864,GCA_000732965.1,Escherichia coli O157:H7 str. EDL933,Complete Genome
SRR4050229,SRX2039837,SINGLE,-,AB 5500xl Genetic Analyzer,SAMN05607790,155864,GCA_000732965.1,Escherichia coli O157:H7 str. EDL933,Complete Genome
SRR4051156,SRX2040736,SINGLE,-,Illumina HiSeq 2000,SAMN05335353,272942,GCA_000021865.1,Rhodobacter capsulatus SB 1003,Complete Genome
SRR4051157,SRX2040737,SINGLE,-,Illumina HiSeq 2000,SAMN05335353,272942,GCA_000021865.1,Rhodobacter capsulatus SB 1003,Complete Genome
SRR4051182,SRX2040762,SINGLE,-,Illumina HiSeq 2000,SAMN05335353,272942,GCA_000021865.1,Rhodobacter capsulatus SB 1003,Complete Genome
SRR4051183,SRX2040763,SINGLE,-,Illumina HiSeq 2000,SAMN05335353,272942,GCA_000021865.1,Rhodobacter capsulatus SB 1003,Complete Genome
SRR4051184,SRX2040764,SINGLE,-,Illumina HiSeq 2000,SAMN05335353,272942,GCA_000021865.1,Rhodobacter capsulatus SB 1003,Complete Genome
SRR4051185,SRX2040765,SINGLE,-,Illumina HiSeq 2000,SAMN05335353,272942,GCA_000021865.1,Rhodobacter capsulatus SB 1003,Complete Genome
SRR4055029,SRX2044570,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055030,SRX2044571,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055031,SRX2044572,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055032,SRX2044573,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055033,SRX2044574,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055034,SRX2044575,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055035,SRX2044576,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055036,SRX2044577,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055037,SRX2044578,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055038,SRX2044579,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055039,SRX2044580,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055040,SRX2044581,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055041,SRX2044582,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055042,SRX2044583,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055043,SRX2044584,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055044,SRX2044585,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055045,SRX2044586,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4055046,SRX2044587,PAIRED,-,Illumina HiSeq 2500,SAMN03003403,697329,GCA_000179635.2,Ruminococcus albus 7 = DSM 20455,Complete Genome
SRR4061783,SRX2050837,SINGLE,-,Illumina HiSeq 4000,SAMN05629337,1196094,GCA_000600005.1,Snodgrassella alvi wkB2,Complete Genome
SRR4061784,SRX2050838,SINGLE,-,Illumina HiSeq 4000,SAMN05629338,1196094,GCA_000600005.1,Snodgrassella alvi wkB2,Complete Genome
SRR4063292,SRX2052369,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063293,SRX2052370,PAIRED,-,Illumina HiSeq 2500,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063294,SRX2052371,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063295,SRX2052372,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063296,SRX2052373,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063297,SRX2052374,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063298,SRX2052375,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063299,SRX2052376,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063300,SRX2052377,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063301,SRX2052378,PAIRED,-,Illumina MiSeq,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063302,SRX2052379,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4063303,SRX2052380,PAIRED,-,Illumina HiSeq 2000,SAMN03003361,595536,GCA_002752655.1,Methylosinus trichosporium OB3b,Complete Genome
SRR4072052,SRX2058481,PAIRED,-,Illumina HiSeq 4000,SAMN05712298,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072053,SRX2058482,PAIRED,-,Illumina HiSeq 4000,SAMN05712297,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072054,SRX2058483,PAIRED,-,Illumina HiSeq 4000,SAMN05712296,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072055,SRX2058484,PAIRED,-,Illumina HiSeq 4000,SAMN05712295,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072056,SRX2058485,PAIRED,-,Illumina HiSeq 4000,SAMN05712294,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072057,SRX2058486,PAIRED,-,Illumina HiSeq 4000,SAMN05712293,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072058,SRX2058487,PAIRED,-,Illumina HiSeq 4000,SAMN05712292,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072059,SRX2058488,PAIRED,-,Illumina HiSeq 4000,SAMN05712291,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4072060,SRX2058489,PAIRED,-,Illumina HiSeq 4000,SAMN05712290,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR5263255,SRX2567407,PAIRED,-,Illumina HiSeq 4000,SAMN06342468,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR5263256,SRX2567408,PAIRED,-,Illumina HiSeq 4000,SAMN06342467,170187,GCA_000006885.1,Streptococcus pneumoniae TIGR4,Complete Genome
SRR4076701,SRX2059232,PAIRED,-,NextSeq 500,SAMN05520808,190650,GCA_000006905.1,Caulobacter crescentus CB15,Complete Genome
SRR4076702,SRX2059233,PAIRED,-,NextSeq 500,SAMN05520809,190650,GCA_000006905.1,Caulobacter crescentus CB15,Complete Genome
SRR4076703,SRX2059234,PAIRED,-,NextSeq 500,SAMN05520810,190650,GCA_000006905.1,Caulobacter crescentus CB15,Complete Genome
SRR4076704,SRX2059235,PAIRED,-,NextSeq 500,SAMN05520811,190650,GCA_000006905.1,Caulobacter crescentus CB15,Complete Genome
SRR4098010,SRX2066786,SINGLE,-,NextSeq 500,SAMN05715416,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098011,SRX2066786,SINGLE,-,NextSeq 500,SAMN05715416,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098012,SRX2066786,SINGLE,-,NextSeq 500,SAMN05715416,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098013,SRX2066787,SINGLE,-,NextSeq 500,SAMN05715415,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098014,SRX2066787,SINGLE,-,NextSeq 500,SAMN05715415,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098015,SRX2066787,SINGLE,-,NextSeq 500,SAMN05715415,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098016,SRX2066788,SINGLE,-,NextSeq 500,SAMN05715414,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098017,SRX2066788,SINGLE,-,NextSeq 500,SAMN05715414,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4098018,SRX2066788,SINGLE,-,NextSeq 500,SAMN05715414,287,GCA_900243355.1,Pseudomonas aeruginosa,Complete Genome
SRR4101825,SRX2069156,PAIRED,-,Illumina HiSeq 2000,SAMN05712690,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101826,SRX2069157,PAIRED,-,Illumina HiSeq 2000,SAMN05712691,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101827,SRX2069158,PAIRED,-,Illumina HiSeq 2000,SAMN05712700,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101828,SRX2069159,PAIRED,-,Illumina HiSeq 2000,SAMN05712701,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101829,SRX2069160,PAIRED,-,Illumina HiSeq 2000,SAMN05712692,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101830,SRX2069161,PAIRED,-,Illumina HiSeq 2000,SAMN05712693,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101831,SRX2069162,PAIRED,-,Illumina HiSeq 2000,SAMN05712694,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101832,SRX2069163,PAIRED,-,Illumina HiSeq 2000,SAMN05712695,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101833,SRX2069164,PAIRED,-,Illumina HiSeq 2000,SAMN05712696,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101834,SRX2069165,PAIRED,-,Illumina HiSeq 2000,SAMN05712697,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101835,SRX2069166,PAIRED,-,Illumina HiSeq 2000,SAMN05712698,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4101836,SRX2069167,PAIRED,-,Illumina HiSeq 2000,SAMN05712699,470,GCA_900088705.1,Acinetobacter baumannii,Complete Genome
SRR4112310,SRX2080288,SINGLE,-,Illumina HiSeq 2000,SAMN05723014,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
SRR4112311,SRX2080289,SINGLE,-,Illumina HiSeq 2000,SAMN05723013,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
SRR4112312,SRX2080290,SINGLE,-,Illumina HiSeq 2000,SAMN05723024,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
SRR4112313,SRX2080291,SINGLE,-,Illumina HiSeq 2000,SAMN05723023,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
SRR4112314,SRX2080292,SINGLE,-,Illumina HiSeq 2000,SAMN05723022,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
SRR4112315,SRX2080293,SINGLE,-,Illumina HiSeq 2000,SAMN05723021,160488,GCA_000007565.2,Pseudomonas putida KT2440,Complete Genome
SRR4112316,SRX2080294,SINGLE,-,Illumina HiSeq 2000,SAMN05723020,1196325,GCA_000281215.1,Pseudomonas putida DOT-T1E,Complete Genome
SRR4112317,SRX2080295,SINGLE,-,Illumina HiSeq 2000,SAMN05723019,1196325,GCA_000281215.1,Pseudomonas putida DOT-T1E,Complete Genome
SRR4112318,SRX2080296,SINGLE,-,Illumina HiSeq 2000,SAMN05723018,1196325,GCA_000281215.1,Pseudomonas putida DOT-T1E,Complete Genome
SRR4112319,SRX2080297,SINGLE,-,Illumina HiSeq 2000,SAMN05723017,1196325,GCA_000281215.1,Pseudomonas putida DOT-T1E,Complete Genome
SRR4112320,SRX2080298,SINGLE,-,Illumina HiSeq 2000,SAMN05723016,1196325,GCA_000281215.1,Pseudomonas putida DOT-T1E,Complete Genome
SRR4112321,SRX2080299,SINGLE,-,Illumina HiSeq 2000,SAMN05723015,1196325,GCA_000281215.1,Pseudomonas putida DOT-T1E,Complete Genome
SRR4116464,SRX2095984,PAIRED,-,Illumina HiSeq 2500,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116465,SRX2095985,PAIRED,-,Illumina MiSeq,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116466,SRX2095986,PAIRED,-,Illumina HiSeq 2500,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116467,SRX2095987,PAIRED,-,Illumina HiSeq 2000,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116468,SRX2095988,PAIRED,-,Illumina HiSeq 2000,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116469,SRX2095989,PAIRED,-,Illumina HiSeq 2500,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116470,SRX2095990,PAIRED,-,Illumina HiSeq 2500,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116471,SRX2095991,PAIRED,-,Illumina HiSeq 2500,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116472,SRX2095992,PAIRED,-,Illumina HiSeq 2500,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116473,SRX2095993,PAIRED,-,Illumina HiSeq 2500,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116474,SRX2095994,PAIRED,-,Illumina HiSeq 2000,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116475,SRX2095995,PAIRED,-,Illumina HiSeq 2000,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4116476,SRX2095996,PAIRED,-,Illumina HiSeq 2000,SAMN03003472,243233,GCA_000008325.1,Methylococcus capsulatus str. Bath,Complete Genome
SRR4163982,SRX2136198,PAIRED,-,NextSeq 550,SAMN05729661,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4163983,SRX2136199,PAIRED,-,NextSeq 550,SAMN05729662,562,GCA_900186905.1,Escherichia coli,Complete Genome
SRR4163984,SRX2136200,PAIRED,-,NextSeq 550,SAMN05729671,1201292,GCA_000742975.1,Enterococcus faecalis ATCC 29212,Complete Genome
